,Unnamed: 0,고유번호,건물식별번호,허가일자,사용승인일자,geometry,주소
157597,157597,4421040021106410027,100236442,2017-08-23,2017-10-26,"POLYGON ((158306.30277281953 452666.7045421416, 158326.4545560102 452670.97581539454, 158328.16466632523 452662.8539031008, 158308.02388301783 452658.5846300026, 158306.30277281953 452666.7045421416))",충청남도 서산시 고북면 가구리 641-27
86688,86688,4415040022105530040,43199,,2002-10-25,"POLYGON ((197452.50057845493 435302.359101863, 197452.18572771054 435292.80116585805, 197446.96676454006 435292.830085373, 197446.7947571104 435293.39307867235, 197444.40177477215 435293.3560421317, 197444.40674368376 435295.37502766814, 197437.5007947171 435295.26392224175, 197437.5796748477 435303.02086758625, 197452.50057845493 435302.359101863))",충청남도 공주시 신풍면 동원리 553-40
391919,391919,4481040025101380003,31138,1995-04-11,1995-05-29,"POLYGON ((180495.84465353197 452559.9290208038, 180507.29510773876 452524.8284583544, 180510.6850636276 452526.0685011569, 180512.3451328732 452520.7585662385, 180510.44423384205 452515.09757926554, 180502.88442208152 452506.47852745885, 180494.35456423066 452501.32843489526, 180468.81394211782 452489.0181345424, 180464.20380932323 452499.8889827022, 180489.96443012787 452512.178286586, 180490.72444615205 452510.7683087707, 180500.514300667 452515.528423588, 180487.1647648639 452556.8589104244, 180495.84465353197 452559.9290208038))",충청남도 예산군 오가면 월곡리 138-3
95621,95621,4418025032100590000,100210800,2014-04-04,2014-09-01,"POLYGON ((160298.27127630424 404854.9882243684, 160305.46719353244 404857.1033161611, 160308.93634424362 404845.30345261865, 160301.79742638685 404843.20336156513, 160298.27127630424 404854.9882243684))",충청남도 보령시 웅천읍 죽청리 59
420411,420411,4482533028105310028,16530,1999-10-19,2000-05-08,"POLYGON ((123028.42554851783 453706.7523109604, 122999.82576201373 453707.3718803397, 123000.19547584746 453726.4017364681, 123028.85526456166 453725.6021694013, 123028.42554851783 453706.7523109604))",충청남도 태안군 근흥면 신진도리 531-28
79851,79851,4415037021100400003,33102,,2005-01-11,"POLYGON ((211182.258841094 446331.5931206102, 211180.97887669946 446329.8931129329, 211171.8988444449 446336.1329266202, 211176.9886913318 446343.6329518211, 211182.24871445747 446339.73306180676, 211186.1887317607 446336.8131441829, 211182.258841094 446331.5931206102))",충청남도 공주시 정안면 광정리 40-3
197594,197594,4423025332108160005,23049,1995-04-12,1996-01-24,"POLYGON ((206558.2085834458 392553.52820228075, 206569.85895708785 392523.7475811372, 206559.79808727436 392519.62745637377, 206546.99872196832 392549.36806034925, 206558.2085834458 392553.52820228075))",충청남도 논산시 연무읍 신화리 816-5
203957,203957,4423035021100510001,32040,1981-02-20,,"POLYGON ((211496.02893675328 402030.3688937302, 211488.67924110423 402013.70889522275, 211481.84924075738 402016.7587700084, 211489.0089416653 402033.158767385, 211496.02893675328 402030.3688937302))",충청남도 논산시 부적면 마구평리 51-1
368664,368664,4480025024102770006,7827,,1995-07-10,"POLYGON ((167589.9692035848 443454.6548796542, 167585.76727254796 443452.16283444595, 167581.31218938646 443459.8117096749, 167585.4051236438 443462.14475441433, 167589.9692035848 443454.6548796542))",충청남도 홍성군 홍성읍 월산리 277-6
224832,224832,4427032026101490055,100220875,2012-03-29,2012-07-31,"POLYGON ((152317.1963007308 491470.91399347235, 152316.62438480384 491465.7410258688, 152306.476447732 491466.8628608597, 152307.04836365857 491472.03582846466, 152317.1963007308 491470.91399347235))",충청남도 당진시 석문면 난지도리 149-55
22554,22554,4413131024100900001,5058,,,"POLYGON ((212166.6833988851 460748.7089335988, 212165.01450322036 460742.82395050145, 212154.67653431688 460745.6277679645, 212156.40742634743 460751.715750547, 212166.6833988851 460748.7089335988))",충청남도 천안시 동남구 풍세면 두남리 90-1
283786,283786,4476041028102750002,100200596,2007-05-09,2013-07-30,"POLYGON ((190163.1385870517 402777.74557256, 190180.779271892 402790.52674995956, 190184.42532264948 402785.49784013437, 190166.7816378443 402772.7156626993, 190163.1385870517 402777.74557256))",충청남도 부여군 임천면 점리 275-2
92842,92842,4418039033102040000,100187829,2009-06-25,2009-12-16,"POLYGON ((171997.52579019716 399536.90248692705, 172006.26599753386 399518.9137446268, 171995.47215150436 399513.66962051496, 171986.7319441531 399531.65936280915, 171997.52579019716 399536.90248692705))",충청남도 보령시 미산면 풍산리 204
348102,348102,4480025626101380002,100216952,2011-07-25,2014-10-13,"POLYGON ((172314.83035113916 450402.0168730285, 172295.67835288926 450411.22351154615, 172299.8781898387 450419.8565110004, 172318.9201915049 450410.4798720782, 172314.83035113916 450402.0168730285))",충청남도 홍성군 홍북읍 대동리 138-2
296970,296970,4476039024103650000,24044,,,"POLYGON ((184202.26646719812 396558.89814767276, 184196.12653271668 396557.35806619975, 184195.4764864557 396560.73803289817, 184201.54642186675 396562.2481135302, 184202.26646719812 396558.89814767276))",충청남도 부여군 충화면 현미리 365
256695,256695,4471034024105420000,100200481,2012-05-10,2012-11-12,"POLYGON ((247084.2096768975 395173.861175239, 247095.65058789097 395174.81434677856, 247096.29570417508 395167.0604075384, 247092.60873285757 395166.753352257, 247092.71675227792 395165.4583624118, 247087.85379010858 395165.05328949983, 247087.59674378537 395168.1422652903, 247085.7027585231 395167.98423689674, 247085.5367286356 395169.9772212723, 247084.54073638446 395169.89420634153, 247084.2096768975 395173.861175239))",충청남도 금산군 군북면 천을리 542
25622,25622,4413110800104650003,58232,1987-09-19,1987-12-01,"POLYGON ((214340.95918721572 466329.9150062547, 214340.84920829727 466328.6250140077, 214335.42924576427 466328.7549278295, 214334.98906062386 466340.7348328574, 214346.45898125545 466340.4650151927, 214346.47911034306 466332.24507592234, 214345.45911903636 466332.16506047494, 214345.4091525746 466330.05507519806, 214340.95918721572 466329.9150062547))",충청남도 천안시 동남구 구성동 465-3
40864,40864,4413325624103200000,14646,2002-07-18,2003-08-19,"POLYGON ((215513.55907228388 478666.7322419011, 215513.9810968364 478664.9822616017, 215516.3090742101 478665.32629585546, 215517.87218767463 478657.4203794224, 215513.02824271272 478656.20131189906, 215510.76210083987 478666.2322013945, 215513.55907228388 478666.7322419011))",충청남도 천안시 서북구 직산읍 판정리 320
